Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price,Class Info,Flight URL
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,328.0,ÉconomiqueeDreams,https://www.kayak.fr/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5267337&pid=eDreamsBrandedBrand_FSR_fr_FR&prv=eDreamsBrandedBrand_FSR_fr_FR&srch=XlEiKVeEvk&ploc=fr_FR&atype=SponsoredResult&prc=328.00&cpnid=7091703&xpExt=&aidExt=&lid=eDreamsBrandedBrand_FSR_fr_FR-XlEiKVeEvk&qorig=Airport:CMN&octid=&qdest=Airport:PAR&qstart=1714104000000&qend=1714363200000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=36014&qdac=PAR&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=01vTsbtKLSPvRAoJ4TTJyg%3D%3D&ah=mKCqE0c6920oZ84WRMY0RVdYiiLmz95CHRPfzvLgyV8&resid=e1b81bdaba4135c3033606957c311961&bookid=F7293167760235199004E0c11470ff6b&seekProv=EDREAMSAIR&trueProv=EDREAMSAIR&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5NjQ$GDmoT5__Opi38xHm-HQoDsxhprqqJsr1TXOIbpfav42PRRLcY_YmEUlWKp&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=vEvlAK2E3og%3D&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,324.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.35015.2e559569f5a37311d0e9c23edf130fdc&h=eaaf8624c878&sub=F642889125901481982E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
11:25,20:15,CMN,PAR,1 escaleLIS,7h 50min,"TAP AIR PORTUGAL, Royal Air Maroc",307.0,Discount,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.e60g2LFm7BOKtDGeeN0IhQ.33178.10cc8342c6e7025a3877717fbdf0aa20&h=873ce11339b6&sub=F4665820055413621786E090c02f71ec&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,324.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.35015.e1b81bdaba4135c3033606957c311961&h=a3152f1bc4a0&sub=F642889122769188258E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,326.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.35231.9797ca252490bbe56f3dcaa862fa1718&h=889a0b12e31d&sub=F642889124061921409E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,326.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.35231.5e2fc94be771ba5f24de07356998c6b3&h=e53f807d11c1&sub=F642889122401428530E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
16:20,20:10,CMN,PAR,direct,2h 50min,Royal Air Maroc,338.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36529.b143a98b9957c27456149af1d112d3f2&h=de0e4de5e8db&sub=F642889123006537095E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
08:10,11:55,CMN,PAR,direct,2h 45min,Royal Air Maroc,348.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.37609.85d899f238088fb7f8a3dda2ec3a69b6&h=657e7a568373&sub=F-7933845031854354119E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
17:40,21:40,CMN,PAR,direct,3h 00min,"Transavia France, Royal Air Maroc",336.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.6We7wBYoN-cNUvH8T-y68A.36315.f0db769867d4eb940a66f28495c73cef&h=3ac665e1ddda&sub=F7293167758237282984E00e3afb7923&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,340.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36745.7e10556ca8829f2a813fe6fa152c4e46&h=d4d5a86b3d65&sub=F642889123012928994E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,340.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36745.0096ce00ff5741286406a961360ea338&h=45f2243ad6cc&sub=F642889122273126084E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11
16:20,20:10,CMN,PAR,direct,2h 50min,Royal Air Maroc,340.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36745.bdae623771eabae402644746dc7c6335&h=40f1fb9692b7&sub=F642889124408024328E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,340.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36745.c867e0dc1d8bad6780ec229f09644239&h=ff76081aa469&sub=F-7933845033818320402E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,340.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36745.07aa4734531c0fd7ce3de6b762ec44e3&h=e2b50df8b1b8&sub=F642889123644733451E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14
08:10,11:55,CMN,PAR,direct,2h 45min,Royal Air Maroc,350.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.37826.6222b6733cdfd1afd368ef9feeea5c3d&h=7862eb58eb85&sub=F-7933845031194423161E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15
18:35,22:25,CMN,PAR,direct,2h 50min,"Royal Air Maroc, Transavia France",337.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.6We7wBYoN-cNUvH8T-y68A.36423.5deb11ee6d26ab501e15ec17c222ade1&h=ad2f1ad4d493&sub=F428124035331777985E01c2c9735a4&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16
13:25,17:20,CMN,PAR,direct,2h 55min,Royal Air Maroc,338.0,Économique,https://www.kayak.fr/book/flight?code=XlEiKVeEvk.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.36529.20cf26ea1371a32ad5da4e1f23834c9a&h=cd046579ae75&sub=F642889125647755385E0ea734aa373&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18
15:55,18:45,CMN,JFK,direct,7h 50min,Royal Air Maroc,898.0,ÉconomiqueeDreams,https://www.kayak.fr/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5267337&pid=eDreamsBrandedBrand_FSR_fr_FR&prv=eDreamsBrandedBrand_FSR_fr_FR&srch=XlHCPpSBcs&ploc=fr_FR&atype=SponsoredResult&prc=898.00&cpnid=7091703&xpExt=&aidExt=&lid=eDreamsBrandedBrand_FSR_fr_FR-XlHCPpSBcs&qorig=Airport:CMN&octid=&qdest=Airport:JFK&qstart=1714104000000&qend=1714363200000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=15830&qdac=JFK&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=01vTsbtKLSPvRAoJ4TTJyg%3D%3D&ah=j3uk1Nw4FWXdjtmSzbhqApuyVd_dcOo9$XVSADCoblA&resid=db06dbd5deae6e543592379d0ebb5b4b&bookid=F2709172983926778243E0c11470ff6b&seekProv=EDREAMSAIR&trueProv=EDREAMSAIR&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5NjQ$GDmoT5__Opi38xHm-HQoDsxhprqqJsr1TXOIbpfav42PRRLcY_YmEUlWKp&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=vEvlAK2E3og%3D&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
15:55,18:45,CMN,JFK,direct,7h 50min,Royal Air Maroc,882.0,Économique,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.tYUOhBwwtNbTYwQ_VUUUMA.95333.db06dbd5deae6e543592379d0ebb5b4b&h=e2bc9fb4fd7b&sub=F-4137658077922805451E00bdfadc699&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,British Airways,570.0,Économique standard,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.ZpbE3-UY8hoNUvH8T-y68A.61551.0b37de0a905ba53981c2e72027a5c97c&h=be3712fba888&sub=F7801891069853200189E0eff58510c7&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,British Airways,691.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.MYf-feaT15w.74689.111493263b9d1935ff308f6ce1eb4ca7&h=a7de9812ae2e&sub=F-387439553758821341E0f30af19159&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
15:55,18:45,CMN,JFK,direct,7h 50min,American Airlines,1396.0,Main Cabin,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.sIt2B02c_IY.150810.40da853c68f81893ba53f992eecb99a2&h=b7e934febac6&sub=F6917194607543249974E0997abd1ed9&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
15:55,18:45,CMN,JFK,direct,7h 50min,British Airways,1402.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.Xn8KWCj2yGDPlYb-lPvZjw.151537.5caf376fd2e84cf75f78f8054034c4b4&h=cbaf02d542dd&sub=F-4871440937230045612E0d3a952eb9d&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
