Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price €,Class Info,Flight URL
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,365.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.39452.e1b81bdaba4135c3033606957c311961&h=329e8f92a87d&sub=F1915367402635143090E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,367.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.39668.5e2fc94be771ba5f24de07356998c6b3&h=b5b164db986d&sub=F1915367402458326643E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
16:20,20:10,CMN,PAR,direct,2h 50min,Royal Air Maroc,380.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41074.b143a98b9957c27456149af1d112d3f2&h=a3a137431b9e&sub=F1915367404325575803E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,385.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41614.2e559569f5a37311d0e9c23edf130fdc&h=8a684839d75e&sub=F1915367403889564887E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
16:20,20:10,CMN,PAR,direct,2h 50min,Royal Air Maroc,382.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41290.bdae623771eabae402644746dc7c6335&h=da0e235227cd&sub=F1915367404231672634E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
08:10,11:55,CMN,PAR,direct,2h 45min,Royal Air Maroc,391.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.42263.85d899f238088fb7f8a3dda2ec3a69b6&h=8792b562de9f&sub=F1915367404591692317E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,382.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41290.0096ce00ff5741286406a961360ea338&h=20705c1a0995&sub=F1915367403161298208E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,382.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41290.c867e0dc1d8bad6780ec229f09644239&h=85af86a12e72&sub=F1915367405966925774E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
14:15,18:05,CMN,PAR,direct,2h 50min,Royal Air Maroc,387.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.41830.9797ca252490bbe56f3dcaa862fa1718&h=afa1467d12a3&sub=F1915367405343581720E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
08:10,11:55,CMN,PAR,direct,2h 45min,Royal Air Maroc,393.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.42479.6222b6733cdfd1afd368ef9feeea5c3d&h=7b0b259a5914&sub=F1915367404295456425E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
18:35,22:25,CMN,PAR,direct,2h 50min,Royal Air Maroc,393.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.42479.13a6a7fb4423de6878b6e7ee6cec3bf0&h=9a1098690e54&sub=F1915367402879396200E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11
16:20,20:10,CMN,PAR,direct,2h 50min,Royal Air Maroc,397.0,Économique,https://www.kayak.fr/book/flight?code=XlGiFVM_Ld.MYf-feaT15w.42911.93e83406af1b3d113ef962b397a08700&h=ca4844dd7c30&sub=F1915367404224832802E077068be2fc&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
